Number,Beverage Name,Ingredients,Additives,Category,Amount for Diet (mL),Amount for Bulking (mL),Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
692,Milkshake,"Ice Cream 50g, Milk 150mL","Protein Powder, Cinnamon",Bulking,120mL,352mL,238,19,21,5
693,Lemon Water,"Lemon Juice 20mL, Water 180mL","Mint, Ginger",Diet,164mL,259mL,192,13,11,0
694,Milkshake,"Ice Cream 50g, Milk 150mL",Ginger,Bulking,180mL,243mL,164,19,7,0
695,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Cinnamon,Diet,192mL,298mL,178,6,33,9
696,Black Coffee,"Coffee Beans 10g, Water 200mL",Mint,Diet,113mL,292mL,175,2,18,4
697,Green Tea,"Green Tea Leaves 5g, Water 200mL","Vanilla Extract, Protein Powder",Diet,104mL,281mL,170,16,26,2
698,Kombucha,Water 200mL,Sea Salt,Diet,198mL,336mL,190,11,5,4
699,Elderberry,Water 200mL,"Lemon Zest, Sea Salt",Diet,141mL,339mL,100,14,29,4
700,Aloe Vera,Water 200mL,Lavender,Bulking,155mL,205mL,184,13,14,0
701,Black Coffee,"Coffee Beans 10g, Water 200mL",Protein Powder,Diet,185mL,259mL,266,2,25,2
702,Protein Shake,"Whey Protein 30g, Milk 200mL","Honey, Mint",Bulking,158mL,262mL,222,12,6,9
703,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Honey, Cocoa Powder",Bulking,143mL,303mL,218,18,6,1
704,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Honey,Bulking,120mL,371mL,296,10,23,8
705,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Cinnamon,Bulking,121mL,335mL,282,14,31,1
706,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Chia Seeds, Mint",Diet,125mL,351mL,204,14,22,2
707,Black Coffee,"Coffee Beans 10g, Water 200mL",Chia Seeds,Diet,198mL,375mL,222,1,17,3
708,Matcha,Water 200mL,Peppermint,Diet,196mL,345mL,57,3,3,1
709,Green Tea,"Green Tea Leaves 5g, Water 200mL",Honey,Diet,195mL,223mL,262,17,24,1
710,Coconut Water,Water 200mL,"Basil, Maple Syrup",Diet,192mL,279mL,84,5,36,2
711,Black Coffee,"Coffee Beans 10g, Water 200mL","Cocoa Powder, Vanilla Extract",Diet,160mL,349mL,57,6,23,0
712,Green Tea,"Green Tea Leaves 5g, Water 200mL",Mint,Diet,114mL,287mL,91,14,39,0
713,Protein Shake,"Whey Protein 30g, Milk 200mL",Vanilla Extract,Bulking,135mL,372mL,294,4,1,8
714,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Ginger, Chia Seeds",Diet,154mL,208mL,262,18,13,9
715,Protein Shake,"Whey Protein 30g, Milk 200mL",Honey,Bulking,125mL,304mL,224,0,6,6
716,Milkshake,"Ice Cream 50g, Milk 150mL","Cinnamon, Cocoa Powder",Bulking,117mL,257mL,140,14,13,0
717,Black Coffee,"Coffee Beans 10g, Water 200mL","Honey, Vanilla Extract",Diet,188mL,360mL,164,15,31,6
718,Protein Shake,"Whey Protein 30g, Milk 200mL","Ginger, Cocoa Powder",Bulking,139mL,288mL,162,17,38,9
719,Lemon Water,"Lemon Juice 20mL, Water 180mL",Mint,Diet,101mL,391mL,182,11,39,5
720,Kombucha,Water 200mL,Lavender,Diet,147mL,230mL,285,6,22,6
721,Green Tea,"Green Tea Leaves 5g, Water 200mL","Protein Powder, Chia Seeds",Diet,111mL,240mL,52,0,31,9
722,Elderberry,Water 200mL,Basil,Diet,184mL,221mL,201,5,1,8
723,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Protein Powder, Cocoa Powder",Diet,108mL,272mL,100,11,39,8
724,Matcha,Water 200mL,"Maple Syrup, Lemon Zest",Diet,163mL,207mL,171,1,4,4
725,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Cocoa Powder,Bulking,131mL,273mL,270,1,34,3
726,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Cocoa Powder,Diet,112mL,249mL,239,10,29,9
727,Black Coffee,"Coffee Beans 10g, Water 200mL","Cinnamon, Vanilla Extract",Diet,129mL,309mL,135,7,26,9
728,Black Coffee,"Coffee Beans 10g, Water 200mL",Cinnamon,Diet,101mL,372mL,275,13,0,2
729,Lemon Water,"Lemon Juice 20mL, Water 180mL",Cocoa Powder,Diet,134mL,376mL,191,18,36,4
730,Pomegranate Juice,Water 200mL,"Lavender, Peppermint",Diet,111mL,398mL,227,16,29,5
731,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Protein Powder,Bulking,176mL,285mL,150,6,12,8
732,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Ginger,Diet,143mL,231mL,57,0,7,9
733,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Vanilla Extract, Mint",Bulking,119mL,265mL,198,6,31,5
734,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Vanilla Extract, Cocoa Powder",Diet,140mL,342mL,158,3,13,1
735,Lemon Water,"Lemon Juice 20mL, Water 180mL","Cinnamon, Protein Powder",Diet,128mL,352mL,132,18,30,0
736,Pomegranate Juice,Water 200mL,Basil,Diet,123mL,351mL,119,17,8,4
737,Black Coffee,"Coffee Beans 10g, Water 200mL",Honey,Diet,149mL,359mL,126,0,26,6
738,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Chia Seeds,Bulking,121mL,369mL,225,4,29,2
739,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Cocoa Powder, Vanilla Extract",Bulking,195mL,381mL,181,9,13,1
740,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Vanilla Extract, Ginger",Bulking,121mL,265mL,94,1,21,3
741,Green Tea,"Green Tea Leaves 5g, Water 200mL","Chia Seeds, Ginger",Diet,176mL,360mL,200,4,9,2
742,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Ginger, Vanilla Extract",Diet,136mL,200mL,290,18,26,9
743,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Ginger, Chia Seeds",Diet,103mL,238mL,257,8,38,3
744,Coconut Water,Water 200mL,Maple Syrup,Bulking,137mL,254mL,117,9,28,6
745,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Cocoa Powder,Bulking,182mL,354mL,147,19,13,9
746,Coconut Water,Water 200mL,Sea Salt,Bulking,134mL,351mL,92,4,32,2
747,Kombucha,Water 200mL,Lemon Zest,Diet,131mL,246mL,243,7,33,3
748,Green Tea,"Green Tea Leaves 5g, Water 200mL","Ginger, Vanilla Extract",Diet,149mL,309mL,74,3,25,5
749,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Cocoa Powder, Mint",Diet,190mL,355mL,59,9,12,4
750,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Ginger,Diet,125mL,305mL,217,7,38,5
751,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Honey, Protein Powder",Bulking,132mL,326mL,115,10,33,8
752,Lemon Water,"Lemon Juice 20mL, Water 180mL",Vanilla Extract,Diet,166mL,314mL,163,3,29,8
753,Aloe Vera,Water 200mL,"Basil, Maple Syrup",Bulking,127mL,256mL,176,7,28,8
754,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Cinnamon,Diet,143mL,263mL,91,18,9,3
755,Matcha,Water 200mL,Maple Syrup,Diet,178mL,252mL,104,10,27,6
756,Matcha,Water 200mL,Lemon Zest,Bulking,185mL,205mL,53,7,6,4
757,Green Tea,"Green Tea Leaves 5g, Water 200mL",Vanilla Extract,Diet,164mL,290mL,275,8,32,7
758,Kombucha,Water 200mL,Basil,Bulking,139mL,393mL,105,3,4,4
759,Beetroot,Water 200mL,Peppermint,Diet,168mL,356mL,65,0,22,3
760,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Vanilla Extract, Protein Powder",Bulking,156mL,312mL,182,9,25,7
761,Matcha,Water 200mL,Lemon Zest,Diet,171mL,334mL,164,5,23,5
762,Green Tea,"Green Tea Leaves 5g, Water 200mL","Cocoa Powder, Honey",Diet,192mL,386mL,53,19,29,3
763,Kombucha,Water 200mL,"Maple Syrup, Lavender",Diet,130mL,399mL,60,8,34,3
764,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Chia Seeds, Protein Powder",Diet,141mL,242mL,257,13,0,8
765,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Vanilla Extract, Cocoa Powder",Diet,139mL,298mL,198,1,3,8
766,Elderberry,Water 200mL,"Maple Syrup, Peppermint",Diet,146mL,240mL,282,0,37,2
767,Milkshake,"Ice Cream 50g, Milk 150mL",Vanilla Extract,Bulking,180mL,334mL,108,10,8,4
768,Beetroot,Water 200mL,Maple Syrup,Bulking,197mL,292mL,198,4,17,6
769,Protein Shake,"Whey Protein 30g, Milk 200mL","Vanilla Extract, Cocoa Powder",Bulking,121mL,336mL,205,18,32,5
770,Black Coffee,"Coffee Beans 10g, Water 200mL","Mint, Chia Seeds",Diet,100mL,369mL,111,19,32,3
771,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Protein Powder, Mint",Diet,167mL,378mL,61,5,35,1
772,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Vanilla Extract, Cinnamon",Diet,116mL,224mL,294,12,0,6
773,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Ginger, Cinnamon",Diet,179mL,273mL,80,8,5,6
774,Milkshake,"Ice Cream 50g, Milk 150mL",Cocoa Powder,Bulking,119mL,310mL,147,10,7,8
775,Lemon Water,"Lemon Juice 20mL, Water 180mL",Honey,Diet,124mL,340mL,231,6,35,7
776,Beetroot,Water 200mL,Lemon Zest,Bulking,189mL,221mL,87,10,28,2
777,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Protein Powder, Chia Seeds",Bulking,194mL,214mL,86,12,4,9
778,Coconut Water,Water 200mL,"Lemon Zest, Maple Syrup",Bulking,152mL,346mL,124,1,18,3
779,Black Coffee,"Coffee Beans 10g, Water 200mL","Vanilla Extract, Protein Powder",Diet,182mL,326mL,265,9,22,5
780,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Vanilla Extract, Cocoa Powder",Bulking,127mL,231mL,268,6,31,8
781,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Cinnamon, Ginger",Bulking,196mL,314mL,94,3,8,5
782,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Mint,Diet,140mL,366mL,59,1,36,4
783,Milkshake,"Ice Cream 50g, Milk 150mL","Ginger, Honey",Bulking,115mL,295mL,146,15,7,4
784,Milkshake,"Ice Cream 50g, Milk 150mL","Honey, Vanilla Extract",Bulking,143mL,256mL,69,7,0,4
785,Milkshake,"Ice Cream 50g, Milk 150mL","Honey, Mint",Bulking,170mL,309mL,101,15,1,1
786,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Honey, Ginger",Bulking,177mL,306mL,158,4,36,1
787,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Mint, Ginger",Bulking,123mL,372mL,115,7,3,3
788,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Ginger,Bulking,160mL,374mL,107,14,8,2
789,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Cocoa Powder,Bulking,113mL,341mL,98,2,18,4
790,Coconut Water,Water 200mL,"Lemon Zest, Maca Powder",Diet,101mL,368mL,166,15,3,6
791,Green Tea,"Green Tea Leaves 5g, Water 200mL","Cinnamon, Chia Seeds",Diet,145mL,208mL,131,16,24,8
792,Turmeric,Water 200mL,Basil,Bulking,151mL,320mL,185,6,28,4
793,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Cocoa Powder, Honey",Diet,190mL,210mL,287,10,4,7
794,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Honey,Bulking,123mL,226mL,212,5,14,5
795,Milkshake,"Ice Cream 50g, Milk 150mL","Chia Seeds, Cocoa Powder",Bulking,199mL,283mL,91,17,26,5
796,Green Tea,"Green Tea Leaves 5g, Water 200mL","Cocoa Powder, Vanilla Extract",Diet,142mL,305mL,98,11,4,1
797,Green Tea,"Green Tea Leaves 5g, Water 200mL","Ginger, Cinnamon",Diet,157mL,299mL,289,0,12,7
798,Lemon Water,"Lemon Juice 20mL, Water 180mL","Cinnamon, Vanilla Extract",Diet,104mL,235mL,206,7,31,4
799,Green Tea,"Green Tea Leaves 5g, Water 200mL","Vanilla Extract, Chia Seeds",Diet,185mL,275mL,102,2,37,8
800,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Mint,Bulking,160mL,318mL,284,3,19,6
801,Lemon Water,"Lemon Juice 20mL, Water 180mL","Protein Powder, Ginger",Diet,134mL,242mL,238,13,27,3
802,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Vanilla Extract,Bulking,105mL,317mL,132,18,33,4
803,Black Coffee,"Coffee Beans 10g, Water 200mL",Cinnamon,Diet,153mL,343mL,71,13,4,3
804,Black Coffee,"Coffee Beans 10g, Water 200mL","Protein Powder, Honey",Diet,129mL,209mL,73,13,32,4
805,Milkshake,"Ice Cream 50g, Milk 150mL","Cocoa Powder, Vanilla Extract",Bulking,111mL,299mL,132,15,14,4
806,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Chia Seeds, Cocoa Powder",Diet,197mL,325mL,211,17,14,3
807,Milkshake,"Ice Cream 50g, Milk 150mL",Ginger,Bulking,107mL,295mL,183,7,16,5
808,Green Tea,"Green Tea Leaves 5g, Water 200mL","Mint, Cocoa Powder",Diet,106mL,247mL,167,6,32,3
809,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Honey, Protein Powder",Bulking,125mL,299mL,105,12,7,9
810,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Vanilla Extract, Protein Powder",Bulking,176mL,221mL,290,1,23,6
811,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Chia Seeds, Protein Powder",Bulking,198mL,383mL,218,12,35,6
812,Milkshake,"Ice Cream 50g, Milk 150mL",Cocoa Powder,Bulking,185mL,248mL,277,5,28,7
813,Pomegranate Juice,Water 200mL,Lemon Zest,Diet,174mL,394mL,157,0,36,1
814,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Protein Powder,Bulking,145mL,206mL,253,3,2,1
815,Coconut Water,Water 200mL,"Maple Syrup, Lemon Zest",Diet,142mL,288mL,228,3,35,7
816,Protein Shake,"Whey Protein 30g, Milk 200mL",Cinnamon,Bulking,181mL,218mL,199,11,29,7
817,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Honey,Bulking,172mL,301mL,270,1,16,3
818,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Honey,Bulking,194mL,357mL,86,18,38,4
819,Coconut Water,Water 200mL,"Maple Syrup, Maca Powder",Bulking,106mL,261mL,147,12,16,8
820,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Cocoa Powder,Diet,192mL,246mL,200,12,27,8
821,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Ginger,Diet,174mL,243mL,248,9,23,6
822,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Protein Powder, Cocoa Powder",Diet,144mL,365mL,185,3,13,0
823,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Cinnamon, Honey",Diet,139mL,305mL,231,18,24,6
824,Turmeric,Water 200mL,Sea Salt,Diet,124mL,300mL,160,14,33,4
825,Green Tea,"Green Tea Leaves 5g, Water 200mL",Chia Seeds,Diet,113mL,347mL,259,18,5,6
826,Milkshake,"Ice Cream 50g, Milk 150mL",Cocoa Powder,Bulking,170mL,250mL,79,8,4,4
827,Milkshake,"Ice Cream 50g, Milk 150mL",Cocoa Powder,Bulking,189mL,373mL,80,13,19,9
828,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Cocoa Powder,Diet,138mL,341mL,118,10,28,0
829,Protein Shake,"Whey Protein 30g, Milk 200mL","Ginger, Honey",Bulking,198mL,340mL,173,9,1,6
830,Elderberry,Water 200mL,"Lemon Zest, Peppermint",Bulking,171mL,323mL,138,10,0,0
831,Coconut Water,Water 200mL,"Maple Syrup, Lavender",Diet,144mL,299mL,227,3,23,9
832,Matcha,Water 200mL,"Maple Syrup, Basil",Diet,123mL,230mL,228,15,15,7
833,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Ginger,Bulking,189mL,272mL,266,8,24,4
834,Protein Shake,"Whey Protein 30g, Milk 200mL","Ginger, Protein Powder",Bulking,111mL,398mL,295,5,1,9
835,Coconut Water,Water 200mL,Sea Salt,Bulking,127mL,274mL,249,4,14,5
836,Lemon Water,"Lemon Juice 20mL, Water 180mL",Mint,Diet,186mL,271mL,275,11,8,3
837,Black Coffee,"Coffee Beans 10g, Water 200mL","Ginger, Cocoa Powder",Diet,149mL,398mL,196,8,31,9
838,Aloe Vera,Water 200mL,"Maca Powder, Basil",Diet,171mL,319mL,163,2,7,9
839,Turmeric,Water 200mL,"Peppermint, Maca Powder",Diet,165mL,362mL,168,9,27,5
840,Elderberry,Water 200mL,"Rose Petals, Maca Powder",Diet,174mL,321mL,218,5,35,7
841,Aloe Vera,Water 200mL,Sea Salt,Bulking,153mL,249mL,86,13,23,4
842,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Ginger, Mint",Bulking,192mL,212mL,175,19,4,6
843,Green Tea,"Green Tea Leaves 5g, Water 200mL","Chia Seeds, Cinnamon",Diet,172mL,348mL,213,0,27,4
844,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Mint, Vanilla Extract",Bulking,102mL,344mL,78,7,29,7
845,Elderberry,Water 200mL,"Maple Syrup, Sea Salt",Bulking,193mL,310mL,115,14,23,3
846,Green Tea,"Green Tea Leaves 5g, Water 200mL","Protein Powder, Ginger",Diet,143mL,295mL,179,3,20,3
847,Kombucha,Water 200mL,Rose Petals,Diet,175mL,284mL,79,6,34,0
848,Milkshake,"Ice Cream 50g, Milk 150mL",Chia Seeds,Bulking,130mL,270mL,57,11,2,7
849,Green Tea,"Green Tea Leaves 5g, Water 200mL","Ginger, Vanilla Extract",Diet,170mL,331mL,255,15,15,9
850,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Protein Powder,Bulking,152mL,333mL,102,2,13,9
851,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Chia Seeds,Diet,169mL,292mL,223,2,14,0
852,Protein Shake,"Whey Protein 30g, Milk 200mL",Cinnamon,Bulking,108mL,231mL,268,15,8,1
853,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Vanilla Extract,Diet,117mL,384mL,207,8,18,4
854,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Vanilla Extract, Cinnamon",Diet,198mL,268mL,134,10,35,2
855,Beetroot,Water 200mL,"Lavender, Maca Powder",Bulking,178mL,267mL,173,19,31,3
856,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Honey, Cocoa Powder",Diet,145mL,291mL,279,2,20,9
857,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Chia Seeds,Bulking,138mL,288mL,205,2,6,2
858,Black Coffee,"Coffee Beans 10g, Water 200mL",Honey,Diet,132mL,230mL,201,1,5,9
859,Protein Shake,"Whey Protein 30g, Milk 200mL","Cocoa Powder, Ginger",Bulking,156mL,388mL,86,15,13,5
860,Green Tea,"Green Tea Leaves 5g, Water 200mL",Ginger,Diet,116mL,381mL,217,5,15,5
861,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Cocoa Powder,Bulking,173mL,296mL,281,1,5,5
862,Kombucha,Water 200mL,Peppermint,Diet,185mL,383mL,125,12,3,0
863,Green Tea,"Green Tea Leaves 5g, Water 200mL","Mint, Honey",Diet,137mL,394mL,176,11,14,6
864,Elderberry,Water 200mL,Rose Petals,Bulking,117mL,217mL,283,13,21,2
865,Protein Shake,"Whey Protein 30g, Milk 200mL",Vanilla Extract,Bulking,100mL,285mL,144,18,24,1
866,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Chia Seeds, Protein Powder",Bulking,148mL,337mL,249,8,10,2
867,Protein Shake,"Whey Protein 30g, Milk 200mL",Mint,Bulking,155mL,307mL,152,10,34,8
868,Lemon Water,"Lemon Juice 20mL, Water 180mL","Cocoa Powder, Mint",Diet,123mL,289mL,229,18,39,7
869,Green Tea,"Green Tea Leaves 5g, Water 200mL","Cinnamon, Ginger",Diet,115mL,211mL,118,5,29,2
870,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Protein Powder, Cinnamon",Diet,195mL,364mL,236,3,30,5
871,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Honey, Cinnamon",Diet,117mL,264mL,75,8,1,0
872,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Chia Seeds, Protein Powder",Diet,172mL,297mL,112,15,9,0
873,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Cocoa Powder, Vanilla Extract",Bulking,185mL,305mL,192,13,22,8
874,Lemon Water,"Lemon Juice 20mL, Water 180mL","Cocoa Powder, Cinnamon",Diet,199mL,259mL,145,3,39,7
875,Black Coffee,"Coffee Beans 10g, Water 200mL","Mint, Chia Seeds",Diet,112mL,345mL,196,5,10,5
876,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Mint, Vanilla Extract",Bulking,127mL,249mL,216,15,0,6
877,Green Tea,"Green Tea Leaves 5g, Water 200mL","Chia Seeds, Vanilla Extract",Diet,100mL,348mL,161,13,31,7
878,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Ginger,Diet,107mL,314mL,162,11,20,5
879,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Vanilla Extract,Diet,134mL,235mL,204,17,4,1
880,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Protein Powder, Chia Seeds",Bulking,171mL,371mL,84,9,5,4
881,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Ginger, Cocoa Powder",Diet,136mL,328mL,244,11,21,2
882,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Mint, Honey",Diet,127mL,244mL,67,0,25,0
883,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Mint,Diet,140mL,217mL,181,17,36,2
884,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Mint, Honey",Diet,115mL,296mL,288,7,36,6
885,Protein Shake,"Whey Protein 30g, Milk 200mL",Chia Seeds,Bulking,110mL,397mL,135,15,0,8
886,Green Tea,"Green Tea Leaves 5g, Water 200mL",Cinnamon,Diet,143mL,357mL,155,17,32,0
887,Milkshake,"Ice Cream 50g, Milk 150mL","Chia Seeds, Protein Powder",Bulking,160mL,361mL,183,9,23,7
888,Pomegranate Juice,Water 200mL,"Sea Salt, Basil",Bulking,131mL,370mL,129,19,29,9
889,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Cocoa Powder, Ginger",Diet,151mL,228mL,194,3,29,3
890,Kombucha,Water 200mL,Rose Petals,Diet,196mL,370mL,197,8,24,7
891,Protein Shake,"Whey Protein 30g, Milk 200mL","Mint, Cocoa Powder",Bulking,109mL,371mL,57,15,28,8
892,Pomegranate Juice,Water 200mL,"Lemon Zest, Maple Syrup",Diet,185mL,244mL,56,0,9,0
893,Pomegranate Juice,Water 200mL,"Lemon Zest, Peppermint",Diet,133mL,258mL,205,9,14,2
894,Lemon Water,"Lemon Juice 20mL, Water 180mL","Cocoa Powder, Honey",Diet,104mL,263mL,187,18,24,1
895,Protein Shake,"Whey Protein 30g, Milk 200mL","Mint, Protein Powder",Bulking,171mL,384mL,103,8,34,6
896,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Protein Powder, Cinnamon",Diet,107mL,243mL,131,17,23,1
897,Lemon Water,"Lemon Juice 20mL, Water 180mL","Mint, Cocoa Powder",Diet,149mL,322mL,151,14,1,1
898,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Vanilla Extract, Protein Powder",Bulking,122mL,309mL,181,12,13,7
899,Pomegranate Juice,Water 200mL,Sea Salt,Bulking,120mL,383mL,221,12,3,6
900,Lemon Water,"Lemon Juice 20mL, Water 180mL","Mint, Vanilla Extract",Diet,147mL,316mL,71,9,27,1
901,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Chia Seeds, Ginger",Diet,186mL,335mL,175,15,22,9
902,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Honey, Cinnamon",Bulking,142mL,378mL,179,7,24,5
903,Beetroot,Water 200mL,"Lavender, Basil",Bulking,123mL,371mL,50,17,11,1
904,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Ginger,Bulking,181mL,323mL,96,9,34,2
905,Turmeric,Water 200mL,"Maple Syrup, Sea Salt",Diet,113mL,249mL,258,16,28,0
906,Lemon Water,"Lemon Juice 20mL, Water 180mL",Cinnamon,Diet,185mL,329mL,233,11,38,8
907,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Cocoa Powder, Vanilla Extract",Diet,106mL,350mL,177,0,23,4
908,Protein Shake,"Whey Protein 30g, Milk 200mL","Vanilla Extract, Protein Powder",Bulking,167mL,259mL,56,9,37,2
909,Kombucha,Water 200mL,"Basil, Lavender",Bulking,147mL,304mL,62,10,17,2
910,Matcha,Water 200mL,Rose Petals,Bulking,115mL,268mL,154,3,38,4
911,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Chia Seeds, Cinnamon",Diet,176mL,334mL,156,5,11,4
912,Green Tea,"Green Tea Leaves 5g, Water 200mL","Chia Seeds, Mint",Diet,164mL,254mL,226,7,35,6
913,Lemon Water,"Lemon Juice 20mL, Water 180mL","Vanilla Extract, Cocoa Powder",Diet,192mL,243mL,89,3,25,3
914,Protein Shake,"Whey Protein 30g, Milk 200mL",Vanilla Extract,Bulking,150mL,395mL,294,2,29,2
915,Lemon Water,"Lemon Juice 20mL, Water 180mL",Chia Seeds,Diet,117mL,300mL,109,18,17,9
