Number,Food Name,Ingredients,Spices,Food Type,Category,Amount for Diet (g/mL),Amount for Bulking (g/mL),Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
1551,Duck Confit,"Broccoli 54g, Spices Thyme","Black Pepper, Hot Sauce",Meat,Diet,81g/120mL,187g/262mL,644,12,35,7
1552,Beef Stew,"Soy 91g, Spices Cardamom","Hot Sauce, Cardamom, Garlic Powder, Cinnamon",Savory,Diet,86g/147mL,110g/226mL,661,29,90,11
1553,Maple Pecan Pie,"Onion 139g, Spices Paprika, Paprika, Black Mustard Seed","Ginger, Chili Powder",Sweet,Diet,72g/130mL,180g/277mL,243,26,69,16
1554,Spicy Tacos,"Yogurt 108g, Spices Garlic Powder, Oregano, Garlic Powder","Oregano, Black Mustard Seed",Spicy,Diet,77g/127mL,160g/250mL,733,10,97,9
1555,Stir Fried Greens,"Cheese 95g, Spices Rosemary, Cardamom, Hot Sauce","Cayenne Pepper, Turmeric",Vegetable,Diet,84g/105mL,171g/227mL,570,26,62,27
1556,Lamb Chops,"Beef Steak 130g, Spices Thyme, Ginger","Paprika, Cumin",Meat,Diet,70g/112mL,164g/226mL,462,19,91,13
1557,Berry Smoothie,"Tomato 99g, Spices Cumin","Garlic Powder, Hot Sauce",Fruit,Diet,63g/129mL,195g/234mL,775,26,46,16
1558,Maple Pecan Pie,"Chicken Breast 60g, Spices Cardamom, Garlic Powder, Hot Sauce","Black Pepper, Cinnamon, Garlic Powder, Chili Powder",Sweet,Diet,64g/108mL,149g/265mL,468,17,95,26
1559,Chili Con Carne,"Egg 88g, Spices Rosemary, Paprika","Thyme, Cardamom",Spicy,Diet,69g/127mL,110g/265mL,750,12,53,5
1560,Mango Sorbet,"Tuna 79g, Spices Paprika, Cardamom",Black Pepper,Fruit,Diet,82g/115mL,107g/206mL,764,34,83,29
1561,Apple Pie,"Cheese 139g, Spices Paprika","Chili Powder, Ginger, Cardamom, Hot Sauce",Fruit,Diet,98g/127mL,165g/259mL,517,40,94,6
1562,Vanilla Custard,"Almond 111g, Spices Thyme, Oregano, Cardamom","Cumin, Garlic Powder",Sweet,Diet,71g/126mL,170g/254mL,352,20,66,6
1563,Stir Fried Greens,"Kale 97g, Spices Thyme, Hot Sauce","Black Pepper, Black Mustard Seed",Vegetable,Diet,72g/129mL,197g/242mL,343,11,26,22
1564,Berry Smoothie,"Banana 115g, Spices Cayenne Pepper, Paprika, Oregano","Thyme, Ginger, Cumin, Garlic Powder",Fruit,Diet,60g/115mL,119g/204mL,338,33,42,26
1565,Garlic Bread,"Banana 88g, Spices Paprika","Oregano, Cayenne Pepper, Turmeric, Chili Powder",Savory,Diet,85g/105mL,154g/290mL,431,13,61,9
1566,Apple Pie,"Salmon 62g, Spices Thyme, Cinnamon, Rosemary","Rosemary, Cardamom, Black Pepper, Cumin",Fruit,Diet,57g/136mL,181g/260mL,568,39,69,12
1567,Beef Stew,"Chicken Breast 135g, Spices Chili Powder, Paprika","Cumin, Black Mustard Seed, Paprika, Chili Powder",Savory,Diet,96g/117mL,118g/294mL,773,48,72,9
1568,Fruit Salad,"Soy 138g, Spices Garlic Powder, Paprika, Thyme","Cayenne Pepper, Garlic Powder, Chili Powder",Fruit,Diet,75g/147mL,125g/213mL,785,22,50,27
1569,Salad Bowl,"Almond 98g, Spices Cayenne Pepper, Garlic Powder, Black Pepper","Cardamom, Cayenne Pepper, Garlic Powder, Paprika",Vegetable,Diet,83g/101mL,192g/267mL,629,42,26,9
1570,Mushroom Risotto,"Cheese 59g, Spices Cardamom, Cinnamon",Black Mustard Seed,Savory,Diet,77g/145mL,125g/230mL,605,27,61,6
1571,Apple Pie,"Chicken Breast 76g, Spices Rosemary, Black Pepper, Cardamom","Thyme, Black Mustard Seed, Cinnamon, Ginger",Fruit,Diet,86g/133mL,166g/218mL,259,15,98,9
1572,Vanilla Custard,"Soy 78g, Spices Cinnamon","Black Pepper, Hot Sauce, Paprika, Oregano",Sweet,Diet,93g/134mL,142g/207mL,693,15,76,22
1573,Roast Chicken,"Oat 84g, Spices Rosemary","Thyme, Cayenne Pepper, Black Pepper",Meat,Diet,80g/149mL,191g/271mL,766,15,56,22
1574,Grilled Salmon,"Oat 137g, Spices Ginger, Hot Sauce, Rosemary","Oregano, Black Mustard Seed",Meat,Diet,98g/114mL,143g/200mL,566,17,66,7
1575,Roasted Carrots,"Broccoli 82g, Spices Rosemary, Garlic Powder, Black Pepper",Cumin,Vegetable,Diet,50g/126mL,197g/280mL,212,19,60,6
1576,Beef Stew,"Oat 138g, Spices Hot Sauce, Cumin, Thyme","Paprika, Cinnamon, Cumin",Savory,Diet,91g/142mL,176g/236mL,296,25,66,27
1577,Chicken Soup,"Orange 79g, Spices Ginger",Cinnamon,Savory,Diet,53g/144mL,163g/275mL,437,31,22,7
1578,Roast Chicken,"Kale 76g, Spices Cinnamon, Hot Sauce","Oregano, Paprika, Cumin",Meat,Diet,97g/109mL,147g/254mL,760,41,42,24
1579,Mushroom Risotto,"Egg 69g, Spices Cayenne Pepper","Hot Sauce, Oregano, Rosemary, Turmeric",Savory,Diet,63g/110mL,187g/217mL,307,14,69,15
1580,Fried Rice,"Onion 65g, Spices Cardamom, Oregano","Turmeric, Cumin, Garlic Powder, Ginger",Savory,Diet,63g/136mL,147g/218mL,449,29,83,21
1581,Chili Con Carne,"Tuna 67g, Spices Paprika, Cayenne Pepper","Oregano, Garlic Powder, Turmeric, Rosemary",Spicy,Diet,86g/129mL,174g/230mL,575,44,42,5
1582,Chocolate Cake,"Oat 123g, Spices Black Pepper, Chili Powder","Ginger, Hot Sauce",Sweet,Diet,74g/146mL,101g/289mL,360,32,68,10
1583,Grilled Vegetables,"Yogurt 87g, Spices Thyme, Cayenne Pepper",Chili Powder,Vegetable,Diet,53g/130mL,185g/201mL,429,35,80,22
1584,Garlic Bread,"Salmon 53g, Spices Cinnamon, Garlic Powder","Cardamom, Ginger, Oregano",Savory,Diet,89g/141mL,137g/255mL,260,41,84,7
1585,Salad Bowl,"Chicken Breast 121g, Spices Rosemary, Paprika, Black Pepper","Cinnamon, Turmeric, Cayenne Pepper, Paprika",Vegetable,Diet,55g/137mL,131g/293mL,519,38,32,22
1586,Mango Sorbet,"Apple 78g, Spices Oregano","Black Mustard Seed, Ginger, Chili Powder, Cinnamon",Fruit,Diet,50g/104mL,101g/291mL,510,33,25,12
1587,Pumpkin Spice Latte,"Tuna 125g, Spices Chili Powder, Chili Powder, Cardamom","Rosemary, Paprika, Chili Powder, Cumin",Sweet,Diet,83g/145mL,183g/249mL,249,17,97,14
1588,Fruit Salad,"Tomato 123g, Spices Paprika",Turmeric,Fruit,Diet,74g/120mL,141g/227mL,592,47,27,15
1589,Roast Chicken,"Tuna 108g, Spices Black Pepper, Black Pepper, Cinnamon","Black Mustard Seed, Paprika, Black Pepper",Meat,Diet,89g/135mL,141g/222mL,670,9,22,5
1590,Vegetable Curry,"Soy 83g, Spices Black Pepper, Chili Powder",Cinnamon,Vegetable,Diet,80g/140mL,113g/229mL,229,6,31,7
1591,Hot Chicken Wings,"Orange 71g, Spices Cayenne Pepper, Cardamom, Cumin","Black Pepper, Chili Powder, Cardamom, Cayenne Pepper",Spicy,Diet,78g/124mL,111g/288mL,205,26,98,12
1592,Fruit Salad,"Banana 62g, Spices Oregano","Black Mustard Seed, Oregano, Cayenne Pepper",Fruit,Diet,69g/106mL,164g/290mL,561,39,90,27
1593,Apple Pie,"Almond 74g, Spices Chili Powder","Ginger, Paprika, Oregano, Cumin",Fruit,Diet,50g/102mL,103g/220mL,409,42,85,21
1594,Vanilla Custard,"Tomato 119g, Spices Cardamom, Hot Sauce, Oregano","Thyme, Cumin",Sweet,Diet,52g/145mL,194g/226mL,370,18,98,28
1595,Stir Fried Greens,"Salmon 140g, Spices Chili Powder","Thyme, Garlic Powder, Cumin",Vegetable,Diet,77g/127mL,187g/214mL,700,36,93,22
1596,Beef Stew,"Butter 65g, Spices Cumin, Turmeric",Oregano,Savory,Diet,55g/135mL,114g/224mL,374,28,92,7
1597,Jalapeno Poppers,"Egg 139g, Spices Garlic Powder, Turmeric, Hot Sauce","Cumin, Cardamom",Spicy,Diet,64g/105mL,190g/230mL,699,23,38,15
1598,Jalapeno Poppers,"Turkey Slices 146g, Spices Hot Sauce, Thyme","Turmeric, Thyme, Cayenne Pepper, Hot Sauce",Spicy,Diet,59g/101mL,179g/221mL,214,27,52,6
1599,Grilled Salmon,"Turkey Slices 121g, Spices Cardamom",Rosemary,Meat,Diet,75g/124mL,167g/285mL,315,20,84,11
1600,Duck Confit,"Chicken Breast 102g, Spices Cayenne Pepper, Paprika","Black Pepper, Black Mustard Seed",Meat,Diet,53g/137mL,113g/291mL,737,30,82,11
1601,Stir Fried Greens,"Carrot 62g, Spices Ginger, Cinnamon","Rosemary, Cumin",Vegetable,Diet,78g/110mL,143g/275mL,741,31,45,29
1602,Fruit Kebabs,"Wheat Flour 72g, Spices Paprika","Black Mustard Seed, Hot Sauce",Fruit,Diet,97g/118mL,177g/223mL,547,40,46,25
1603,Roasted Carrots,"Beef Steak 125g, Spices Garlic Powder, Garlic Powder, Cinnamon",Oregano,Vegetable,Diet,85g/141mL,145g/281mL,672,19,35,14
1604,Grilled Salmon,"Apple 143g, Spices Black Pepper","Black Mustard Seed, Garlic Powder, Rosemary",Meat,Diet,76g/121mL,128g/202mL,289,17,92,14
1605,Berry Smoothie,"Tuna 117g, Spices Thyme, Cardamom, Black Pepper","Cardamom, Paprika",Fruit,Diet,77g/113mL,187g/211mL,318,28,22,21
1606,Roasted Carrots,"Broccoli 51g, Spices Black Pepper, Cinnamon, Cinnamon","Thyme, Hot Sauce",Vegetable,Diet,53g/130mL,174g/225mL,709,25,72,25
1607,Garlic Bread,"Salmon 138g, Spices Black Mustard Seed, Garlic Powder","Garlic Powder, Turmeric, Ginger",Savory,Diet,83g/144mL,122g/243mL,302,48,32,23
1608,Salad Bowl,"Honey 64g, Spices Thyme, Rosemary","Paprika, Cayenne Pepper, Cinnamon",Vegetable,Diet,75g/133mL,192g/275mL,611,10,62,18
1609,Grilled Salmon,"Carrot 116g, Spices Cardamom, Cumin","Thyme, Cinnamon, Hot Sauce",Meat,Diet,72g/109mL,138g/229mL,747,49,85,7
1610,Duck Confit,"Oat 136g, Spices Cayenne Pepper","Black Mustard Seed, Chili Powder",Meat,Diet,86g/131mL,150g/205mL,381,25,68,23
1611,Garlic Bread,"Carrot 86g, Spices Paprika, Garlic Powder","Turmeric, Black Pepper, Cinnamon, Cardamom",Savory,Diet,72g/129mL,164g/257mL,738,47,51,10
1612,Blueberry Muffin,"Chicken Breast 130g, Spices Cayenne Pepper","Cardamom, Cinnamon",Sweet,Diet,67g/103mL,127g/213mL,767,46,97,7
1613,Mango Sorbet,"Kale 77g, Spices Cumin, Turmeric, Oregano","Hot Sauce, Thyme, Chili Powder",Fruit,Diet,60g/111mL,102g/213mL,631,38,66,25
1614,Vegetable Curry,"Beef Steak 144g, Spices Hot Sauce","Oregano, Cinnamon",Vegetable,Diet,63g/136mL,142g/287mL,416,18,85,25
1615,Spicy Tacos,"Orange 100g, Spices Cardamom","Ginger, Garlic Powder, Paprika, Black Pepper",Spicy,Diet,84g/130mL,157g/277mL,250,41,86,13
1616,Mushroom Risotto,"Tuna 60g, Spices Paprika","Rosemary, Hot Sauce, Oregano",Savory,Diet,99g/137mL,166g/211mL,476,32,21,22
1617,Blueberry Muffin,"Cheese 134g, Spices Thyme","Cayenne Pepper, Cinnamon, Rosemary, Ginger",Sweet,Diet,53g/114mL,156g/297mL,570,39,39,8
1618,Grilled Vegetables,"Apple 114g, Spices Black Mustard Seed, Garlic Powder, Cayenne Pepper","Rosemary, Cumin",Vegetable,Diet,52g/122mL,167g/292mL,259,41,75,22
1619,Beef Stew,"Honey 130g, Spices Thyme, Cinnamon, Cayenne Pepper","Ginger, Thyme",Savory,Diet,76g/139mL,179g/248mL,515,34,92,27
1620,Salad Bowl,"Orange 116g, Spices Cumin","Thyme, Black Pepper, Cinnamon",Vegetable,Diet,53g/115mL,141g/283mL,634,7,78,24
1621,Hot Chicken Wings,"Honey 73g, Spices Black Mustard Seed","Oregano, Black Mustard Seed",Spicy,Diet,94g/127mL,182g/281mL,545,29,37,8
1622,Blueberry Muffin,"Orange 74g, Spices Paprika",Rosemary,Sweet,Diet,80g/121mL,151g/282mL,404,9,43,16
1623,Chicken Soup,"Oat 77g, Spices Ginger",Oregano,Savory,Diet,73g/131mL,120g/256mL,704,34,23,29
1624,Szechuan Noodles,"Chicken Breast 130g, Spices Thyme",Cumin,Spicy,Diet,93g/110mL,140g/208mL,227,49,28,17
1625,Chocolate Cake,"Orange 71g, Spices Cinnamon","Hot Sauce, Cayenne Pepper, Black Mustard Seed, Turmeric",Sweet,Diet,64g/112mL,143g/218mL,521,10,20,26
1626,Maple Pecan Pie,"Onion 98g, Spices Cayenne Pepper, Garlic Powder, Oregano","Rosemary, Cayenne Pepper",Sweet,Diet,71g/130mL,112g/248mL,746,28,87,6
1627,Roast Chicken,"Yogurt 124g, Spices Hot Sauce","Oregano, Turmeric, Black Mustard Seed",Meat,Diet,70g/149mL,187g/265mL,437,13,37,26
1628,Spicy Tacos,"Banana 60g, Spices Cinnamon, Paprika","Ginger, Black Pepper",Spicy,Diet,78g/103mL,168g/265mL,392,42,42,12
1629,Stir Fried Greens,"Turkey Slices 98g, Spices Garlic Powder, Cayenne Pepper, Chili Powder","Thyme, Ginger, Garlic Powder",Vegetable,Diet,65g/119mL,137g/267mL,779,48,68,20
1630,Vanilla Custard,"Honey 53g, Spices Ginger",Chili Powder,Sweet,Diet,72g/149mL,187g/212mL,494,8,36,8
1631,Fruit Salad,"Almond 81g, Spices Black Pepper, Cardamom, Black Mustard Seed","Oregano, Rosemary, Cinnamon, Paprika",Fruit,Diet,67g/146mL,167g/224mL,675,16,25,10
1632,Maple Pecan Pie,"Kale 145g, Spices Rosemary","Cumin, Paprika",Sweet,Diet,80g/124mL,172g/210mL,741,23,84,5
1633,Mango Sorbet,"Salmon 110g, Spices Black Mustard Seed","Rosemary, Cayenne Pepper",Fruit,Diet,77g/112mL,167g/299mL,542,10,85,27
1634,Apple Pie,"Egg 57g, Spices Black Pepper, Hot Sauce","Cumin, Black Pepper",Fruit,Diet,87g/140mL,132g/266mL,692,20,93,19
1635,Stir Fried Greens,"Honey 120g, Spices Turmeric, Cayenne Pepper, Cayenne Pepper","Turmeric, Garlic Powder",Vegetable,Diet,90g/123mL,158g/243mL,284,33,40,7
1636,Spicy Tacos,"Tuna 130g, Spices Ginger","Paprika, Garlic Powder",Spicy,Diet,51g/125mL,148g/295mL,442,33,84,22
1637,Fried Rice,"Tomato 65g, Spices Black Pepper, Oregano, Paprika",Turmeric,Savory,Diet,79g/137mL,163g/208mL,724,9,20,7
1638,Stir Fried Greens,"Orange 75g, Spices Turmeric",Ginger,Vegetable,Diet,92g/105mL,186g/221mL,348,49,64,25
1639,Jalapeno Poppers,"Chicken Breast 52g, Spices Ginger, Turmeric, Thyme",Black Mustard Seed,Spicy,Diet,62g/126mL,149g/284mL,561,29,36,10
1640,Blueberry Muffin,"Tomato 138g, Spices Cayenne Pepper, Garlic Powder, Oregano","Cumin, Garlic Powder",Sweet,Diet,75g/145mL,170g/283mL,576,21,73,27
1641,Spicy Tacos,"Soy 120g, Spices Turmeric, Black Mustard Seed, Cinnamon","Hot Sauce, Ginger, Paprika",Spicy,Diet,90g/131mL,144g/242mL,767,6,22,13
1642,Lamb Chops,"Tuna 113g, Spices Hot Sauce, Black Pepper",Hot Sauce,Meat,Diet,52g/115mL,166g/219mL,258,34,51,27
1643,Grilled Salmon,"Chicken Breast 110g, Spices Chili Powder, Ginger, Cardamom","Cayenne Pepper, Thyme, Ginger, Cinnamon",Meat,Diet,88g/139mL,138g/225mL,342,8,82,23
1644,Salad Bowl,"Apple 50g, Spices Cardamom","Black Mustard Seed, Chili Powder, Turmeric, Black Pepper",Vegetable,Diet,66g/101mL,157g/248mL,369,17,33,14
1645,Salad Bowl,"Orange 63g, Spices Rosemary","Rosemary, Chili Powder",Vegetable,Diet,70g/130mL,159g/267mL,484,43,76,5
1646,Garlic Bread,"Onion 147g, Spices Hot Sauce, Cumin","Black Pepper, Thyme, Turmeric",Savory,Diet,72g/115mL,157g/260mL,763,46,89,15
1647,Pumpkin Spice Latte,"Kale 63g, Spices Cardamom, Thyme","Hot Sauce, Cumin, Cayenne Pepper",Sweet,Diet,90g/106mL,125g/239mL,464,31,98,27
1648,Szechuan Noodles,"Egg 110g, Spices Black Pepper","Cayenne Pepper, Cinnamon, Turmeric, Chili Powder",Spicy,Diet,53g/109mL,156g/259mL,336,5,94,12
1649,Vanilla Custard,"Onion 50g, Spices Cumin, Chili Powder, Thyme","Oregano, Cayenne Pepper, Ginger, Turmeric",Sweet,Diet,84g/106mL,182g/285mL,768,37,28,7
1650,Vanilla Custard,"Honey 99g, Spices Rosemary, Cardamom",Turmeric,Sweet,Diet,78g/135mL,107g/295mL,659,6,28,27
1651,Fried Rice,"Banana 87g, Spices Thyme, Chili Powder","Garlic Powder, Black Pepper",Savory,Diet,85g/110mL,130g/243mL,407,48,94,17
1652,Garlic Bread,"Beef Steak 147g, Spices Ginger, Cinnamon, Black Mustard Seed",Rosemary,Savory,Diet,87g/138mL,155g/208mL,553,44,23,6
1653,Fruit Kebabs,"Cheese 129g, Spices Oregano, Turmeric",Ginger,Fruit,Diet,62g/114mL,175g/273mL,668,7,61,6
1654,Szechuan Noodles,"Beef Steak 141g, Spices Cayenne Pepper","Thyme, Cardamom, Turmeric, Garlic Powder",Spicy,Diet,67g/125mL,174g/200mL,766,12,25,12
1655,Pork Ribs,"Kale 139g, Spices Rosemary, Cumin","Oregano, Cardamom, Ginger",Meat,Diet,81g/136mL,151g/215mL,537,48,24,9
1656,Szechuan Noodles,"Garlic 51g, Spices Rosemary, Cumin",Rosemary,Spicy,Diet,59g/107mL,170g/281mL,546,6,30,24
1657,Hot Chicken Wings,"Orange 84g, Spices Black Mustard Seed","Oregano, Cinnamon, Black Mustard Seed",Spicy,Diet,94g/120mL,116g/232mL,459,11,85,23
1658,Szechuan Noodles,"Kale 127g, Spices Black Mustard Seed, Oregano, Black Pepper",Hot Sauce,Spicy,Diet,57g/130mL,151g/216mL,721,42,84,25
1659,Pork Ribs,"Turkey Slices 67g, Spices Rosemary, Ginger, Chili Powder","Black Pepper, Rosemary, Hot Sauce",Meat,Diet,52g/131mL,111g/297mL,508,10,21,13
1660,Fried Rice,"Almond 50g, Spices Rosemary","Cayenne Pepper, Cumin",Savory,Diet,87g/121mL,180g/216mL,783,22,39,8
1661,Grilled Vegetables,"Oat 54g, Spices Black Mustard Seed","Chili Powder, Black Mustard Seed",Vegetable,Diet,83g/110mL,129g/286mL,231,13,30,12
1662,Fried Rice,"Honey 65g, Spices Cumin, Paprika","Turmeric, Black Pepper, Cumin",Savory,Diet,70g/122mL,192g/290mL,648,46,44,20
1663,Pork Ribs,"Butter 77g, Spices Cumin, Paprika, Cumin","Garlic Powder, Rosemary, Chili Powder, Cayenne Pepper",Meat,Diet,55g/120mL,194g/258mL,397,9,85,22
1664,Blueberry Muffin,"Kale 59g, Spices Ginger","Hot Sauce, Cardamom, Garlic Powder, Thyme",Sweet,Diet,65g/140mL,104g/273mL,481,15,23,24
1665,Chili Con Carne,"Butter 64g, Spices Black Pepper, Cumin","Cayenne Pepper, Cardamom, Black Pepper, Cumin",Spicy,Diet,57g/135mL,124g/281mL,736,18,67,14
1666,Fruit Salad,"Kale 65g, Spices Ginger, Hot Sauce, Cumin","Black Mustard Seed, Oregano, Ginger, Cinnamon",Fruit,Diet,67g/146mL,115g/227mL,664,11,42,23
1667,Roast Chicken,"Banana 97g, Spices Oregano, Oregano, Cinnamon",Paprika,Meat,Diet,58g/132mL,195g/277mL,413,42,40,29
1668,Pumpkin Spice Latte,"Broccoli 53g, Spices Chili Powder, Turmeric","Paprika, Ginger",Sweet,Diet,77g/127mL,123g/261mL,204,30,63,6
1669,Blueberry Muffin,"Kale 51g, Spices Garlic Powder, Chili Powder, Ginger","Thyme, Rosemary",Sweet,Diet,92g/114mL,130g/256mL,293,42,42,15
1670,Salad Bowl,"Soy 114g, Spices Black Pepper, Chili Powder, Black Mustard Seed","Oregano, Turmeric, Cardamom, Cayenne Pepper",Vegetable,Diet,67g/114mL,172g/224mL,270,11,65,24
1671,Salad Bowl,"Tomato 116g, Spices Black Pepper, Cumin","Oregano, Black Mustard Seed, Hot Sauce",Vegetable,Diet,79g/134mL,194g/250mL,413,27,74,29
1672,Chili Con Carne,"Wheat Flour 146g, Spices Rosemary, Chili Powder","Turmeric, Cayenne Pepper, Ginger, Cinnamon",Spicy,Diet,64g/116mL,184g/224mL,297,14,56,21
1673,Hot Chicken Wings,"Banana 128g, Spices Paprika","Cumin, Cardamom, Chili Powder",Spicy,Diet,85g/101mL,160g/299mL,666,16,75,15
1674,Chocolate Cake,"Orange 56g, Spices Cardamom, Cinnamon","Hot Sauce, Cardamom, Thyme",Sweet,Diet,62g/127mL,109g/278mL,279,15,70,27
1675,Apple Pie,"Tuna 119g, Spices Black Pepper, Cumin","Black Mustard Seed, Cinnamon, Ginger, Cayenne Pepper",Fruit,Diet,71g/144mL,161g/274mL,276,30,73,9
1676,Vegetable Curry,"Milk 95g, Spices Ginger, Chili Powder, Oregano","Black Mustard Seed, Turmeric, Paprika, Hot Sauce",Vegetable,Diet,75g/112mL,121g/280mL,678,42,46,26
1677,Fried Rice,"Wheat Flour 76g, Spices Paprika, Ginger","Cardamom, Rosemary, Chili Powder",Savory,Diet,74g/125mL,157g/240mL,346,12,70,26
1678,Pork Ribs,"Kale 61g, Spices Chili Powder","Cinnamon, Black Mustard Seed, Black Pepper, Ginger",Meat,Diet,72g/117mL,107g/224mL,367,40,34,6
1679,Pumpkin Spice Latte,"Beef Steak 77g, Spices Oregano",Cayenne Pepper,Sweet,Diet,69g/108mL,127g/233mL,579,10,48,18
1680,Mushroom Risotto,"Oat 80g, Spices Chili Powder, Black Mustard Seed","Black Mustard Seed, Thyme",Savory,Diet,59g/114mL,149g/291mL,691,43,48,25
1681,Roasted Carrots,"Orange 53g, Spices Hot Sauce","Chili Powder, Rosemary, Black Mustard Seed, Cinnamon",Vegetable,Diet,91g/110mL,189g/278mL,394,23,83,16
1682,Berry Smoothie,"Salmon 85g, Spices Cardamom, Hot Sauce, Paprika","Turmeric, Black Pepper",Fruit,Diet,95g/142mL,109g/274mL,334,39,95,28
1683,Roasted Carrots,"Kale 79g, Spices Cayenne Pepper, Ginger","Paprika, Thyme, Black Pepper",Vegetable,Diet,64g/114mL,155g/269mL,658,30,84,9
1684,Garlic Bread,"Orange 62g, Spices Thyme","Cayenne Pepper, Cinnamon, Cardamom",Savory,Diet,68g/137mL,161g/216mL,464,43,79,22
1685,Stir Fried Greens,"Butter 133g, Spices Paprika","Cardamom, Oregano, Paprika",Vegetable,Diet,81g/101mL,121g/244mL,541,26,82,16
1686,Roasted Carrots,"Apple 56g, Spices Oregano, Cardamom, Hot Sauce",Cinnamon,Vegetable,Diet,97g/131mL,157g/273mL,740,29,32,29
1687,Szechuan Noodles,"Turkey Slices 55g, Spices Cinnamon","Cinnamon, Garlic Powder, Cumin, Cardamom",Spicy,Diet,59g/106mL,193g/215mL,786,9,45,9
1688,Fruit Kebabs,"Turkey Slices 69g, Spices Oregano, Garlic Powder, Oregano",Hot Sauce,Fruit,Diet,54g/126mL,196g/247mL,273,22,93,5
1689,Maple Pecan Pie,"Wheat Flour 56g, Spices Rosemary, Cumin, Oregano",Thyme,Sweet,Diet,54g/112mL,178g/242mL,451,47,50,25
1690,Roasted Carrots,"Milk 104g, Spices Thyme, Oregano","Cumin, Hot Sauce, Thyme, Ginger",Vegetable,Diet,82g/139mL,142g/211mL,323,15,51,21
1691,Jalapeno Poppers,"Banana 78g, Spices Oregano, Paprika",Cinnamon,Spicy,Diet,88g/140mL,115g/212mL,353,28,40,6
1692,Chicken Soup,"Oat 148g, Spices Ginger, Garlic Powder","Chili Powder, Garlic Powder, Cardamom, Paprika",Savory,Diet,51g/104mL,111g/222mL,382,36,60,8
1693,Chili Con Carne,"Cheese 119g, Spices Thyme, Black Mustard Seed","Chili Powder, Turmeric, Rosemary",Spicy,Diet,87g/143mL,130g/274mL,609,14,41,13
1694,Grilled Vegetables,"Chicken Breast 90g, Spices Ginger","Cinnamon, Garlic Powder",Vegetable,Diet,76g/142mL,186g/201mL,799,6,80,14
1695,Pork Ribs,"Milk 96g, Spices Cayenne Pepper, Cayenne Pepper","Cardamom, Garlic Powder",Meat,Diet,69g/103mL,114g/291mL,774,43,46,5
1696,Fruit Salad,"Banana 134g, Spices Rosemary","Black Mustard Seed, Black Pepper, Garlic Powder, Rosemary",Fruit,Diet,94g/119mL,152g/246mL,428,29,95,7
1697,Grilled Vegetables,"Cheese 110g, Spices Ginger, Paprika, Black Pepper",Cardamom,Vegetable,Diet,90g/116mL,132g/287mL,700,29,52,17
1698,Mushroom Risotto,"Milk 92g, Spices Hot Sauce, Rosemary, Turmeric","Paprika, Ginger",Savory,Diet,79g/111mL,117g/274mL,644,45,83,18
1699,Roasted Carrots,"Milk 134g, Spices Oregano, Cinnamon",Thyme,Vegetable,Diet,93g/109mL,155g/259mL,743,35,51,9
1700,Apple Pie,"Tuna 97g, Spices Cumin, Ginger","Rosemary, Cumin, Cinnamon, Oregano",Fruit,Diet,96g/108mL,152g/286mL,781,36,92,18
1701,Fruit Kebabs,"Onion 51g, Spices Turmeric, Black Pepper, Oregano",Black Mustard Seed,Fruit,Diet,64g/123mL,180g/219mL,247,11,27,8
1702,Roasted Carrots,"Tuna 80g, Spices Cayenne Pepper, Thyme","Rosemary, Ginger",Vegetable,Diet,89g/118mL,134g/226mL,641,10,94,8
1703,Grilled Vegetables,"Onion 121g, Spices Rosemary, Turmeric","Thyme, Cayenne Pepper, Black Mustard Seed",Vegetable,Diet,98g/135mL,175g/208mL,253,37,92,11
1704,Chicken Soup,"Broccoli 72g, Spices Garlic Powder, Turmeric, Cardamom","Oregano, Black Pepper, Cardamom",Savory,Diet,55g/133mL,184g/293mL,674,26,62,11
1705,Apple Pie,"Turkey Slices 134g, Spices Black Mustard Seed, Cinnamon",Black Mustard Seed,Fruit,Diet,75g/136mL,114g/240mL,317,26,70,16
1706,Grilled Vegetables,"Apple 83g, Spices Cinnamon, Rosemary, Thyme","Cayenne Pepper, Rosemary, Black Mustard Seed",Vegetable,Diet,98g/128mL,128g/223mL,301,38,40,15
1707,Roasted Carrots,"Egg 145g, Spices Rosemary, Chili Powder, Chili Powder","Black Mustard Seed, Oregano, Cardamom, Chili Powder",Vegetable,Diet,67g/100mL,102g/277mL,335,36,58,13
1708,Stir Fried Greens,"Wheat Flour 148g, Spices Paprika, Black Pepper","Cumin, Paprika, Oregano",Vegetable,Diet,89g/135mL,129g/238mL,694,42,87,26
1709,Chicken Soup,"Onion 89g, Spices Rosemary","Turmeric, Paprika, Rosemary, Hot Sauce",Savory,Diet,70g/139mL,137g/208mL,334,11,97,20
1710,Stir Fried Greens,"Wheat Flour 70g, Spices Cumin","Black Mustard Seed, Cayenne Pepper, Hot Sauce, Cinnamon",Vegetable,Diet,98g/129mL,127g/255mL,552,44,30,12
1711,Vegetable Curry,"Chicken Breast 58g, Spices Cinnamon, Chili Powder","Garlic Powder, Cumin, Cayenne Pepper, Black Mustard Seed",Vegetable,Diet,93g/114mL,181g/251mL,411,34,81,5
1712,Chocolate Cake,"Beef Steak 66g, Spices Oregano","Thyme, Paprika, Ginger",Sweet,Diet,50g/141mL,134g/221mL,337,48,90,7
